# id,point x in mm,point y in mm,strain in 1
1.000000000000000000e+00,-3.500000000000000000e+02,3.500000000000000000e+02,2.394833518628832283e-04
2.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+02,3.453812394648390904e-05
3.000000000000000000e+00,3.500000000000000000e+02,3.500000000000000000e+02,4.763268427319797466e-04
4.000000000000000000e+00,-3.500000000000000000e+02,0.000000000000000000e+00,4.417781212268870198e-04
5.000000000000000000e+00,3.500000000000000000e+02,0.000000000000000000e+00,-1.447486708437168736e-03
6.000000000000000000e+00,-3.500000000000000000e+02,-3.500000000000000000e+02,3.193054587202138659e-05
7.000000000000000000e+00,0.000000000000000000e+00,-3.500000000000000000e+02,4.169882424526237053e-04
8.000000000000000000e+00,3.500000000000000000e+02,-3.500000000000000000e+02,-1.160220364706294625e-04
