# id,point x in mm,point y in mm,strain in 1
1.000000000000000000e+00,-3.500000000000000000e+02,3.500000000000000000e+02,3.368548269247115235e-04
2.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+02,-1.759994042343624614e-04
3.000000000000000000e+00,3.500000000000000000e+02,3.500000000000000000e+02,2.968245800929383686e-04
4.000000000000000000e+00,-3.500000000000000000e+02,0.000000000000000000e+00,-1.301771401222583710e-04
5.000000000000000000e+00,3.500000000000000000e+02,0.000000000000000000e+00,5.713820935544228338e-04
6.000000000000000000e+00,-3.500000000000000000e+02,-3.500000000000000000e+02,2.669177077693347098e-04
7.000000000000000000e+00,0.000000000000000000e+00,-3.500000000000000000e+02,-1.861607226871560966e-04
8.000000000000000000e+00,3.500000000000000000e+02,-3.500000000000000000e+02,2.007713626153698118e-04
