# id,point x in mm,point y in mm,strain in 1
1.000000000000000000e+00,-3.500000000000000000e+02,3.500000000000000000e+02,2.288165308016728650e-04
2.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+02,-3.460651573582976172e-04
3.000000000000000000e+00,3.500000000000000000e+02,3.500000000000000000e+02,3.009875304405207818e-04
4.000000000000000000e+00,-3.500000000000000000e+02,0.000000000000000000e+00,5.183128976499824965e-04
5.000000000000000000e+00,3.500000000000000000e+02,0.000000000000000000e+00,3.449263942636708754e-05
6.000000000000000000e+00,-3.500000000000000000e+02,-3.500000000000000000e+02,2.480213651518221527e-04
7.000000000000000000e+00,0.000000000000000000e+00,-3.500000000000000000e+02,-7.201415181891271215e-04
8.000000000000000000e+00,3.500000000000000000e+02,-3.500000000000000000e+02,3.094434327952244753e-04
