# id,point x in mm,point y in mm,strain in 1
1.000000000000000000e+00,-3.500000000000000000e+02,3.500000000000000000e+02,2.623063623729649332e-04
2.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+02,-3.885414318852034956e-04
3.000000000000000000e+00,3.500000000000000000e+02,3.500000000000000000e+02,1.696797618050946736e-04
4.000000000000000000e+00,-3.500000000000000000e+02,0.000000000000000000e+00,6.078989867326856306e-04
5.000000000000000000e+00,3.500000000000000000e+02,0.000000000000000000e+00,9.537871785816429029e-06
6.000000000000000000e+00,-3.500000000000000000e+02,-3.500000000000000000e+02,1.616936991959809782e-04
7.000000000000000000e+00,0.000000000000000000e+00,-3.500000000000000000e+02,-1.246468245877414924e-03
8.000000000000000000e+00,3.500000000000000000e+02,-3.500000000000000000e+02,2.482563502732496171e-04
