# id,point x in mm,point y in mm,strain in 1
1.000000000000000000e+00,-3.500000000000000000e+02,3.500000000000000000e+02,3.754261865348687078e-04
2.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+02,7.416401112808928468e-05
3.000000000000000000e+00,3.500000000000000000e+02,3.500000000000000000e+02,3.710301770236694896e-04
4.000000000000000000e+00,-3.500000000000000000e+02,0.000000000000000000e+00,8.382716841984916159e-05
5.000000000000000000e+00,3.500000000000000000e+02,0.000000000000000000e+00,1.171441153746121799e-03
6.000000000000000000e+00,-3.500000000000000000e+02,-3.500000000000000000e+02,2.117861217281916488e-04
7.000000000000000000e+00,0.000000000000000000e+00,-3.500000000000000000e+02,-1.995362259485026465e-05
8.000000000000000000e+00,3.500000000000000000e+02,-3.500000000000000000e+02,4.695096002407462199e-04
