# id,point x in mm,point y in mm,strain in 1
1.000000000000000000e+00,-3.500000000000000000e+02,3.500000000000000000e+02,2.484321079255809978e-04
2.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+02,6.159080916709294728e-05
3.000000000000000000e+00,3.500000000000000000e+02,3.500000000000000000e+02,1.209406944762748178e-03
4.000000000000000000e+00,-3.500000000000000000e+02,0.000000000000000000e+00,-1.161661762354885359e-04
5.000000000000000000e+00,3.500000000000000000e+02,0.000000000000000000e+00,5.209639310874094979e-03
6.000000000000000000e+00,-3.500000000000000000e+02,-3.500000000000000000e+02,1.592954409447378883e-04
7.000000000000000000e+00,0.000000000000000000e+00,-3.500000000000000000e+02,3.804995141726068389e-05
8.000000000000000000e+00,3.500000000000000000e+02,-3.500000000000000000e+02,9.640752215490064640e-04
