# id,point x in mm,point y in mm,strain in 1
1.000000000000000000e+00,-3.500000000000000000e+02,3.500000000000000000e+02,9.454782576699955051e-04
2.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+02,6.295902446619877938e-05
3.000000000000000000e+00,3.500000000000000000e+02,3.500000000000000000e+02,2.135843220497803238e-04
4.000000000000000000e+00,-3.500000000000000000e+02,0.000000000000000000e+00,-2.369073102565182228e-03
5.000000000000000000e+00,3.500000000000000000e+02,0.000000000000000000e+00,5.401990140948941931e-04
6.000000000000000000e+00,-3.500000000000000000e+02,-3.500000000000000000e+02,6.979103698103538258e-04
7.000000000000000000e+00,0.000000000000000000e+00,-3.500000000000000000e+02,4.697199745836871015e-05
8.000000000000000000e+00,3.500000000000000000e+02,-3.500000000000000000e+02,2.700422632244718017e-04
