channel names:							
003_-174_290_50 - Brücke (V/V) - R0__PXI1Slot2_ai0	003_-174_290_50 - Brücke (V/V) - R1__PXI1Slot2_ai1	003_-174_290_50 - Brücke (V/V) - R2__PXI1Slot2_ai2	003_-174_290_50 - Brücke (V/V) - R3__PXI1Slot2_ai3	003_-174_290_50 - Brücke (V/V) - R4__PXI1Slot2_ai4	003_-174_290_50 - Brücke (V/V) - R5__PXI1Slot2_ai5	003_-174_290_50 - Brücke (V/V) - R6__PXI1Slot2_ai6	003_-174_290_50 - Brücke (V/V) - R7__PXI1Slot2_ai7
start times:							
23.05.2024 13:42:24,040079	23.05.2024 13:42:24,040079	23.05.2024 13:42:24,040079	23.05.2024 13:42:24,040079	23.05.2024 13:42:24,040079	23.05.2024 13:42:24,040079	23.05.2024 13:42:24,040079	23.05.2024 13:42:24,040079
dt:							
0,020000							
data:							
2,878880E-1	1,277629E-2	-7,576645E-1	3,190938E-1	-2,514852E-1	-5,172217E-1	-8,257868E-2	-1,201304E-1
2,877688E-1	1,277629E-2	-7,577717E-1	3,189746E-1	-2,513183E-1	-5,173052E-1	-8,276942E-2	-1,203807E-1
2,877688E-1	1,275245E-2	-7,577121E-1	3,190581E-1	-2,513898E-1	-5,173529E-1	-8,291247E-2	-1,204165E-1
2,878880E-1	1,280013E-2	-7,576525E-1	3,192846E-1	-2,512944E-1	-5,172098E-1	-8,273365E-2	-1,203688E-1
2,878999E-1	1,284782E-2	-7,577598E-1	3,196064E-1	-2,513779E-1	-5,169595E-1	-8,242371E-2	-1,201780E-1
2,878403E-1	1,284782E-2	-7,577241E-1	3,195468E-1	-2,514971E-1	-5,169953E-1	-8,261445E-2	-1,201423E-1
2,878880E-1	1,280013E-2	-7,577479E-1	3,194634E-1	-2,514852E-1	-5,170787E-1	-8,278134E-2	-1,202615E-1
2,878642E-1	1,271669E-2	-7,577837E-1	3,191296E-1	-2,515805E-1	-5,172575E-1	-8,300784E-2	-1,203807E-1
2,878165E-1	1,274053E-2	-7,577121E-1	3,190104E-1	-2,516044E-1	-5,173767E-1	-8,300784E-2	-1,203211E-1
2,877927E-1	1,264516E-2	-7,579029E-1	3,191892E-1	-2,517117E-1	-5,173052E-1	-8,274558E-2	-1,203926E-1
2,877211E-1	1,271669E-2	-7,579148E-1	3,192726E-1	-2,519739E-1	-5,171860E-1	-8,269789E-2	-1,202853E-1
2,878046E-1	1,277629E-2	-7,577837E-1	3,193323E-1	-2,517713E-1	-5,172337E-1	-8,243563E-2	-1,201423E-1
2,877807E-1	1,276437E-2	-7,577956E-1	3,193084E-1	-2,516759E-1	-5,172814E-1	-8,254292E-2	-1,201780E-1
2,878523E-1	1,275245E-2	-7,579267E-1	3,192965E-1	-2,513421E-1	-5,173410E-1	-8,292439E-2	-1,202376E-1
2,877927E-1	1,275245E-2	-7,578433E-1	3,192250E-1	-2,512944E-1	-5,173171E-1	-8,276942E-2	-1,202138E-1
2,877450E-1	1,272861E-2	-7,578671E-1	3,190581E-1	-2,514375E-1	-5,173290E-1	-8,287671E-2	-1,202376E-1
2,877927E-1	1,260940E-2	-7,578910E-1	3,191415E-1	-2,511991E-1	-5,174363E-1	-8,249524E-2	-1,201780E-1
2,877807E-1	1,258556E-2	-7,578790E-1	3,194038E-1	-2,512944E-1	-5,172337E-1	-8,251908E-2	-1,202376E-1
2,877450E-1	1,268092E-2	-7,578433E-1	3,194872E-1	-2,514494E-1	-5,171502E-1	-8,293631E-2	-1,203330E-1
2,878403E-1	1,276437E-2	-7,577002E-1	3,197614E-1	-2,513302E-1	-5,171145E-1	-8,262637E-2	-1,202615E-1
2,878880E-1	1,288358E-2	-7,577002E-1	3,196660E-1	-2,512944E-1	-5,169476E-1	-8,254292E-2	-1,201304E-1
2,879357E-1	1,297895E-2	-7,576883E-1	3,193680E-1	-2,513183E-1	-5,171621E-1	-8,254292E-2	-1,202376E-1
2,879119E-1	1,287166E-2	-7,576883E-1	3,192250E-1	-2,512348E-1	-5,172456E-1	-8,272173E-2	-1,203569E-1
2,878046E-1	1,276437E-2	-7,577121E-1	3,190223E-1	-2,514732E-1	-5,173171E-1	-8,282902E-2	-1,203688E-1
2,879357E-1	1,259748E-2	-7,577837E-1	3,190223E-1	-2,515686E-1	-5,172098E-1	-8,272173E-2	-1,201900E-1
2,878880E-1	1,269284E-2	-7,578075E-1	3,193203E-1	-2,515805E-1	-5,170072E-1	-8,263829E-2	-1,202138E-1
2,878284E-1	1,268092E-2	-7,577598E-1	3,191415E-1	-2,516401E-1	-5,171502E-1	-8,257868E-2	-1,202496E-1
2,878999E-1	1,264516E-2	-7,576764E-1	3,190700E-1	-2,514136E-1	-5,173052E-1	-8,263829E-2	-1,203211E-1
2,878761E-1	1,269284E-2	-7,578194E-1	3,190581E-1	-2,515448E-1	-5,173290E-1	-8,273365E-2	-1,204403E-1
2,879476E-1	1,264516E-2	-7,578433E-1	3,189985E-1	-2,515328E-1	-5,172933E-1	-8,269789E-2	-1,204045E-1
2,879834E-1	1,262132E-2	-7,576764E-1	3,193442E-1	-2,514732E-1	-5,170429E-1	-8,244755E-2	-1,202376E-1
2,880311E-1	1,268092E-2	-7,577956E-1	3,195826E-1	-2,514375E-1	-5,171264E-1	-8,216145E-2	-1,201304E-1
2,881026E-1	1,274053E-2	-7,577360E-1	3,196303E-1	-2,513659E-1	-5,170191E-1	-8,241179E-2	-1,201661E-1
2,880192E-1	1,256171E-2	-7,577598E-1	3,194157E-1	-2,512587E-1	-5,171860E-1	-8,254292E-2	-1,202019E-1
2,878999E-1	1,264516E-2	-7,578790E-1	3,191058E-1	-2,511752E-1	-5,173171E-1	-8,242371E-2	-1,202734E-1
2,879715E-1	1,247827E-2	-7,577479E-1	3,191058E-1	-2,511871E-1	-5,172933E-1	-8,261445E-2	-1,202853E-1
2,879119E-1	1,253787E-2	-7,577479E-1	3,191892E-1	-2,512706E-1	-5,173052E-1	-8,250716E-2	-1,202853E-1
2,879238E-1	1,266900E-2	-7,577837E-1	3,194753E-1	-2,514613E-1	-5,171025E-1	-8,247139E-2	-1,203330E-1
2,879596E-1	1,269284E-2	-7,578313E-1	3,196899E-1	-2,513898E-1	-5,170310E-1	-8,257868E-2	-1,203569E-1
2,879596E-1	1,281205E-2	-7,577837E-1	3,197852E-1	-2,512110E-1	-5,169118E-1	-8,235219E-2	-1,202973E-1
2,878999E-1	1,276437E-2	-7,577479E-1	3,195468E-1	-2,515328E-1	-5,170072E-1	-8,262637E-2	-1,202138E-1
2,876734E-1	1,276437E-2	-7,577598E-1	3,192607E-1	-2,513898E-1	-5,172217E-1	-8,255484E-2	-1,202615E-1
2,877688E-1	1,275245E-2	-7,577837E-1	3,192488E-1	-2,512110E-1	-5,172217E-1	-8,249524E-2	-1,202496E-1
2,878046E-1	1,277629E-2	-7,577717E-1	3,194276E-1	-2,512825E-1	-5,171025E-1	-8,296015E-2	-1,203092E-1
2,878761E-1	1,284782E-2	-7,578075E-1	3,196899E-1	-2,512229E-1	-5,170429E-1	-8,273365E-2	-1,200827E-1
2,878761E-1	1,275245E-2	-7,577121E-1	3,197376E-1	-2,514613E-1	-5,169833E-1	-8,251908E-2	-1,202615E-1
2,877331E-1	1,265708E-2	-7,578790E-1	3,191654E-1	-2,514136E-1	-5,172575E-1	-8,263829E-2	-1,203092E-1
2,876973E-1	1,254979E-2	-7,578433E-1	3,188316E-1	-2,512348E-1	-5,175079E-1	-8,270981E-2	-1,202853E-1
2,876734E-1	1,263324E-2	-7,578313E-1	3,188316E-1	-2,514852E-1	-5,175198E-1	-8,275750E-2	-1,203926E-1
2,878523E-1	1,262132E-2	-7,578075E-1	3,192250E-1	-2,516878E-1	-5,172456E-1	-8,272173E-2	-1,201780E-1
2,879476E-1	1,271669E-2	-7,577956E-1	3,198449E-1	-2,514613E-1	-5,169476E-1	-8,262637E-2	-1,200946E-1
2,879119E-1	1,287166E-2	-7,578075E-1	3,201667E-1	-2,515090E-1	-5,167211E-1	-8,223298E-2	-1,200827E-1
2,879119E-1	1,282398E-2	-7,577717E-1	3,199521E-1	-2,515328E-1	-5,169476E-1	-8,267405E-2	-1,201661E-1
2,878284E-1	1,289550E-2	-7,578313E-1	3,194395E-1	-2,512944E-1	-5,172814E-1	-8,275750E-2	-1,202376E-1
2,877569E-1	1,276437E-2	-7,576883E-1	3,191296E-1	-2,511275E-1	-5,174125E-1	-8,290055E-2	-1,204045E-1
