channel names:							
016_-58_232_50 - Brücke (V/V) - R0__PXI1Slot2_ai0	016_-58_232_50 - Brücke (V/V) - R1__PXI1Slot2_ai1	016_-58_232_50 - Brücke (V/V) - R2__PXI1Slot2_ai2	016_-58_232_50 - Brücke (V/V) - R3__PXI1Slot2_ai3	016_-58_232_50 - Brücke (V/V) - R4__PXI1Slot2_ai4	016_-58_232_50 - Brücke (V/V) - R5__PXI1Slot2_ai5	016_-58_232_50 - Brücke (V/V) - R6__PXI1Slot2_ai6	016_-58_232_50 - Brücke (V/V) - R7__PXI1Slot2_ai7
start times:							
23.05.2024 14:58:30,519267	23.05.2024 14:58:30,519267	23.05.2024 14:58:30,519267	23.05.2024 14:58:30,519267	23.05.2024 14:58:30,519267	23.05.2024 14:58:30,519267	23.05.2024 14:58:30,519267	23.05.2024 14:58:30,519267
dt:							
0,020000							
data:							
2,991414E-1	2,275411E-2	-7,241786E-1	2,352301E-1	-4,034055E-1	-4,302109E-1	-4,955771E-2	-3,661233E-2
2,991652E-1	2,283756E-2	-7,242262E-1	2,353374E-1	-4,035128E-1	-4,301751E-1	-4,922392E-2	-3,663617E-2
2,990818E-1	2,265874E-2	-7,242143E-1	2,352778E-1	-4,035604E-1	-4,301155E-1	-4,925969E-2	-3,660041E-2
2,990937E-1	2,281371E-2	-7,242024E-1	2,349678E-1	-4,035247E-1	-4,302347E-1	-4,933121E-2	-3,656465E-2
2,991771E-1	2,287332E-2	-7,241905E-1	2,349440E-1	-4,032267E-1	-4,303182E-1	-4,942658E-2	-3,658849E-2
2,991414E-1	2,275411E-2	-7,241786E-1	2,348725E-1	-4,035485E-1	-4,303778E-1	-4,953387E-2	-3,675538E-2
2,991295E-1	2,265874E-2	-7,242501E-1	2,347771E-1	-4,032267E-1	-4,304016E-1	-4,959347E-2	-3,671962E-2
2,990341E-1	2,261106E-2	-7,241547E-1	2,348725E-1	-4,032267E-1	-4,303063E-1	-4,954579E-2	-3,667194E-2
2,990460E-1	2,265874E-2	-7,241547E-1	2,347771E-1	-4,033697E-1	-4,304016E-1	-4,974844E-2	-3,663617E-2
2,990341E-1	2,267066E-2	-7,241786E-1	2,348009E-1	-4,030598E-1	-4,304016E-1	-4,976037E-2	-3,667194E-2
2,990222E-1	2,259914E-2	-7,242382E-1	2,348009E-1	-4,032624E-1	-4,303897E-1	-4,972460E-2	-3,673154E-2
2,989745E-1	2,269450E-2	-7,243097E-1	2,348963E-1	-4,034651E-1	-4,304612E-1	-4,964116E-2	-3,675538E-2
2,989864E-1	2,265874E-2	-7,242143E-1	2,350632E-1	-4,033697E-1	-4,304135E-1	-4,953387E-2	-3,673154E-2
2,989745E-1	2,271835E-2	-7,242143E-1	2,349917E-1	-4,034174E-1	-4,304255E-1	-4,955771E-2	-3,671962E-2
2,989506E-1	2,293292E-2	-7,242620E-1	2,348725E-1	-4,035962E-1	-4,304255E-1	-4,955771E-2	-3,661233E-2
2,990460E-1	2,286140E-2	-7,242620E-1	2,348486E-1	-4,035247E-1	-4,304851E-1	-4,970076E-2	-3,674346E-2
2,989506E-1	2,276603E-2	-7,244408E-1	2,348963E-1	-4,035485E-1	-4,304851E-1	-4,970076E-2	-3,682691E-2
2,989626E-1	2,273027E-2	-7,244170E-1	2,351109E-1	-4,034293E-1	-4,303778E-1	-4,966500E-2	-3,682691E-2
2,989030E-1	2,281371E-2	-7,243812E-1	2,350036E-1	-4,033697E-1	-4,304135E-1	-4,955771E-2	-3,676730E-2
2,991175E-1	2,289716E-2	-7,243931E-1	2,350632E-1	-4,032863E-1	-4,304493E-1	-4,948618E-2	-3,661233E-2
2,990341E-1	2,282563E-2	-7,244170E-1	2,350394E-1	-4,030955E-1	-4,304374E-1	-4,945042E-2	-3,669578E-2
2,990341E-1	2,278987E-2	-7,244527E-1	2,350513E-1	-4,032505E-1	-4,304612E-1	-4,953387E-2	-3,669578E-2
2,989626E-1	2,280179E-2	-7,242501E-1	2,351347E-1	-4,032863E-1	-4,304612E-1	-4,955771E-2	-3,682691E-2
2,990103E-1	2,278987E-2	-7,242620E-1	2,351705E-1	-4,034293E-1	-4,302943E-1	-4,940274E-2	-3,676730E-2
2,990937E-1	2,281371E-2	-7,243574E-1	2,351109E-1	-4,035247E-1	-4,303182E-1	-4,951003E-2	-3,664809E-2
2,990341E-1	2,283756E-2	-7,242024E-1	2,350036E-1	-4,036201E-1	-4,303897E-1	-4,956963E-2	-3,673154E-2
2,989864E-1	2,283756E-2	-7,242620E-1	2,348129E-1	-4,034293E-1	-4,304255E-1	-4,968884E-2	-3,687459E-2
2,988553E-1	2,275411E-2	-7,243455E-1	2,346698E-1	-4,033936E-1	-4,303897E-1	-4,955771E-2	-3,687459E-2
2,988910E-1	2,280179E-2	-7,243216E-1	2,347294E-1	-4,033220E-1	-4,305328E-1	-4,962924E-2	-3,677922E-2
2,989983E-1	2,275411E-2	-7,244885E-1	2,347533E-1	-4,036320E-1	-4,304731E-1	-4,972460E-2	-3,677922E-2
2,989268E-1	2,278987E-2	-7,243693E-1	2,349082E-1	-4,036677E-1	-4,304374E-1	-4,964116E-2	-3,674346E-2
2,990699E-1	2,282563E-2	-7,242382E-1	2,352063E-1	-4,035724E-1	-4,303420E-1	-4,956963E-2	-3,658849E-2
2,991891E-1	2,289716E-2	-7,243216E-1	2,351109E-1	-4,036081E-1	-4,303539E-1	-4,953387E-2	-3,661233E-2
2,991056E-1	2,274219E-2	-7,242859E-1	2,351228E-1	-4,034293E-1	-4,304374E-1	-4,954579E-2	-3,662425E-2
2,989983E-1	2,262298E-2	-7,243335E-1	2,349202E-1	-4,032267E-1	-4,305685E-1	-4,958155E-2	-3,655273E-2
2,991056E-1	2,269450E-2	-7,242620E-1	2,348486E-1	-4,032982E-1	-4,305328E-1	-4,973652E-2	-3,650504E-2
2,990937E-1	2,278987E-2	-7,242262E-1	2,348367E-1	-4,032863E-1	-4,304612E-1	-4,964116E-2	-3,655273E-2
2,991175E-1	2,276603E-2	-7,241905E-1	2,348963E-1	-4,034770E-1	-4,303778E-1	-4,967692E-2	-3,663617E-2
2,990103E-1	2,264682E-2	-7,243574E-1	2,349321E-1	-4,035604E-1	-4,304016E-1	-4,949811E-2	-3,664809E-2
2,990222E-1	2,268258E-2	-7,242978E-1	2,348486E-1	-4,034889E-1	-4,304970E-1	-4,943850E-2	-3,652889E-2
2,989506E-1	2,278987E-2	-7,243455E-1	2,348129E-1	-4,035485E-1	-4,305328E-1	-4,958155E-2	-3,673154E-2
2,989268E-1	2,273027E-2	-7,242739E-1	2,348725E-1	-4,033816E-1	-4,304493E-1	-4,951003E-2	-3,667194E-2
2,989745E-1	2,274219E-2	-7,242978E-1	2,351943E-1	-4,034412E-1	-4,303063E-1	-4,958155E-2	-3,657657E-2
2,989745E-1	2,278987E-2	-7,243455E-1	2,352778E-1	-4,032863E-1	-4,301870E-1	-4,954579E-2	-3,657657E-2
2,988910E-1	2,277795E-2	-7,242859E-1	2,349798E-1	-4,035485E-1	-4,301990E-1	-4,965308E-2	-3,667194E-2
2,988314E-1	2,271835E-2	-7,242859E-1	2,346698E-1	-4,034174E-1	-4,304851E-1	-4,985573E-2	-3,662425E-2
2,988434E-1	2,273027E-2	-7,243455E-1	2,345744E-1	-4,033459E-1	-4,305089E-1	-4,979613E-2	-3,667194E-2
2,988314E-1	2,275411E-2	-7,244289E-1	2,346579E-1	-4,033459E-1	-4,304493E-1	-4,984381E-2	-3,675538E-2
2,989626E-1	2,286140E-2	-7,242859E-1	2,350274E-1	-4,035128E-1	-4,302228E-1	-4,990342E-2	-3,662425E-2
2,988910E-1	2,280179E-2	-7,243216E-1	2,351109E-1	-4,035128E-1	-4,302228E-1	-4,961731E-2	-3,667194E-2
2,988910E-1	2,274219E-2	-7,244170E-1	2,348963E-1	-4,034293E-1	-4,304612E-1	-4,960539E-2	-3,661233E-2
2,988076E-1	2,278987E-2	-7,244051E-1	2,344076E-1	-4,032863E-1	-4,305804E-1	-5,007031E-2	-3,674346E-2
